pair_id,label,confidence_1to5,note
cp002184,within_noise,4,0.8142 versus 0.813 is tiny
cp002186,within_noise,3,F1 differs by about 1.5 points after percent conversion
cp002188,genuine_conflict,2,large U-Net F1 difference with no visible protocol cause
cp002197,within_noise,3,0.859 versus 84.873 percent is about 1 point
cp002200,extraction_artifact,5,B selected a different dataset/column; same row contains 93.4
cp002207,extraction_artifact,5,B selected VQA column; same row contains GQA 59.3
cp002208,extraction_artifact,5,B selected the wrong Cityscapes metric column
cp002244,genuine_conflict,2,same stated KAIST PSNR cell with no visible cause
cp002275,within_noise,4,0.750 versus 0.745 is small
cp002279,genuine_conflict,2,same stated ConvE FB15k MRR with no visible cause
cp002287,extraction_artifact,5,B value appears to be FB15k or wrong Hits@10 cell
cp002309,extraction_artifact,5,"B value appears to be FB15k-237/raw cell, not WN18"
cp002322,extraction_artifact,5,"B value appears to be FB15k-237/raw cell, not WN18"
cp002339,genuine_conflict,2,same WN18RR MRR with no visible cause
cp002363,evaluation_setting,4,WSSS supervision/backbone/saliency setting differs
cp002393,evaluation_setting,5,linear probe CLIP versus domain-generalization/zero-shot CLIP
cp002394,extraction_artifact,4,"A value is a margin/derived value, not CLIP ImageNet accuracy"
cp002400,within_noise,3,67.2 versus 68.67 is within rough graph accuracy noise
cp002410,split,4,test versus validation split
cp002411,within_noise,4,95.96 percent versus approximately 95 percent is small
cp002416,extraction_artifact,5,"A is generative VisDial table, B is discriminative table"
cp002437,genuine_conflict,2,same GAT Citeseer accuracy with no visible cause
cp002440,within_noise,5,0.769 versus 0.7652 is tiny
cp002479,within_noise,5,82.7 versus 83.0 is tiny
cp002498,within_noise,4,83.1 versus 0.835 is small after percent conversion
cp002522,extraction_artifact,5,macro-F1 cell matched to a different high-percent metric/dataset column
cp002534,within_noise,3,77.78 versus 78.6 is small
cp002536,within_noise,3,77.78 versus 79.0 is within rough graph accuracy noise
cp002546,within_noise,5,0.8104 versus 0.810 is negligible
cp002549,genuine_conflict,2,78.6 versus 81.0 beyond noise with no visible cause
cp002575,evaluation_setting,5,0.5 percent label setting differs from standard test result
cp002591,evaluation_setting,4,different graph split/evaluation setting
cp002613,evaluation_setting,4,different graph split/evaluation setting
cp002617,within_noise,5,0.708 versus 0.710 is negligible
cp002643,evaluation_setting,5,0.5 percent label/training-size setting differs
cp002653,evaluation_setting,4,DropEdge/backbone setup differs
cp002665,evaluation_setting,4,semi-supervised/inductive benchmark setting differs
cp002703,evaluation_setting,5,one training node per class versus standard/teacher setup
cp002710,evaluation_setting,5,one training node per class versus standard setup
cp002720,evaluation_setting,4,teacher/distillation setup differs from cited baseline table
cp002722,evaluation_setting,4,teacher/distillation setup differs from standard baseline
cp002729,evaluation_setting,4,low-label/special setting versus standard Cora result
cp002746,split,4,public split versus random/test split
cp002801,evaluation_setting,3,Pubmed GCN setting differs; unit extraction is noisy
cp002809,evaluation_setting,3,different Pubmed GCN setting
cp002819,extraction_artifact,4,A extracted summary value does not match shown GCNII row
cp002824,extraction_artifact,5,"A caption is ogbl-ppa, not ogbg-molhiv"
cp002825,evaluation_setting,4,SAT/base GNN setting versus standard GIN benchmark
cp002846,genuine_conflict,2,same GraphSAGE Cora accuracy with no visible cause
cp002886,extraction_artifact,4,PSPNet value likely from incompatible VOC setting/cell
cp002888,extraction_artifact,4,PSPNet value likely from incompatible VOC setting/cell
cp002893,evaluation_setting,4,PSPNet depth/multiscale/model setting differs
cp002901,split,4,Cityscapes test versus validation split
cp002916,within_noise,4,78.4 versus 78.2 is small
cp002926,within_noise,4,14.5 versus 14.05 is small
cp002956,extraction_artifact,5,"B selected a per-class IoU value, not overall mIoU"
cp002975,evaluation_setting,5,transfer/1k FID setting versus full FFHQ FID50k
cp002991,metric_variant,4,KGE Hits@10 likely filtered/raw variant
cp002993,metric_variant,3,KGE MRR likely filtered/raw variant
cp003010,genuine_conflict,2,same TransE FB15k-237 MRR with no visible cause
cp003011,within_noise,4,0.294 versus 0.301 is small
cp003048,extraction_artifact,5,"B selected ScanObjectNN column, not ModelNet40"
